order_date,order_id,product,product_id,category,purchase_address,quantity_ordered,price_each,cost_price,turnover,margin,order_time,period_of_day,city
2023-01-22,141234,iphone,5638008983335,Vêtements,"944 Walnut St, Boston, MA 02215",1,700,231,700,469,212500,noche, Boston
2023-01-28,141235,lightning charging cable,5563319511488,Alimentation,"185 Maple St, Portland, OR 97035",1,14.95,7.475,14.95,7.475,141500,mañana, Portland
2023-01-17,141236,wired headphones,2113973395220,Vêtements,"538 Adams St, San Francisco, CA 94016",2,11.99,5.995,23.98,11.99,133300,mañana, San Francisco
2023-01-05,141237,27in fhd monitor,3069156759167,Sports,"738 10th St, Los Angeles, CA 90001",1,149.99,97.4935,149.99,52.4965,203300,noche, Los Angeles
2023-01-25,141238,wired headphones,9692680938163,Électronique,"387 10th St, Austin, TX 73301",1,11.99,5.995,11.99,5.995,115900,noche, Austin
2023-01-29,141239,aaa batteries (4-pack),2953868554188,Alimentation,"775 Willow St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495,202200,noche, San Francisco
2023-01-26,141240,27in 4k gaming monitor,5173670800988,Vêtements,"979 Park St, Los Angeles, CA 90001",1,389.99,128.69670000000002,389.99,261.2933,121600,mañana, Los Angeles
2023-01-05,141241,usb-c charging cable,8051736777568,Vêtements,"181 6th St, San Francisco, CA 94016",1,11.95,5.975,11.95,5.975,120400,mañana, San Francisco
2023-01-01,141242,bose soundsport headphones,1508418177978,Électronique,"867 Willow St, Los Angeles, CA 90001",1,99.99,49.995,99.99,49.995,103000,noche, Los Angeles
2023-01-22,141243,apple airpods headphones,1386344211590,Électronique,"657 Johnson St, San Francisco, CA 94016",1,150,97.5,150,52.5,212000,noche, San Francisco
2023-01-07,141244,apple airpods headphones,4332898830865,Vêtements,"492 Walnut St, San Francisco, CA 94016",1,150,97.5,150,52.5,112900,noche, San Francisco
2023-01-31,141245,macbook pro laptop,1169379570345,Vêtements,"322 6th St, San Francisco, CA 94016",1,1700,561,1700,1139,101200,noche, San Francisco
2023-01-09,141246,aaa batteries (4-pack),4436184749366,Vêtements,"618 7th St, Los Angeles, CA 90001",3,2.99,1.495,8.97,4.485,185700,tarde, Los Angeles
2023-01-25,141247,27in fhd monitor,7313825995563,Vêtements,"512 Wilson St, San Francisco, CA 94016",1,149.99,97.4935,149.99,52.4965,191900,noche, San Francisco
2023-01-05,141249,27in fhd monitor,9643428300795,Alimentation,"440 Cedar St, Portland, OR 97035",1,149.99,97.4935,149.99,52.4965,172000,mañana, Portland
2023-01-10,141250,vareebadd phone,6721780072847,Alimentation,"471 Center St, Los Angeles, CA 90001",1,400,132,400,268,112000,noche, Los Angeles
2023-01-24,141251,apple airpods headphones,2700099961823,Alimentation,"414 Walnut St, Boston, MA 02215",1,150,97.5,150,52.5,81300,noche, Boston
2023-01-30,141252,usb-c charging cable,3692435232121,Sports,"220 9th St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975,92800,noche, Los Angeles
2023-01-08,141254,aaa batteries (4-pack),8219536039183,Électronique,"238 Sunset St, Seattle, WA 98101",1,2.99,1.495,2.99,1.495,115100,noche, Seattle
2023-01-09,141255,usb-c charging cable,7739134543383,Alimentation,"764 11th St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975,205500,noche, Los Angeles
2023-01-29,141256,google phone,3693462265309,Électronique,"675 Washington St, Portland, OR 97035",1,600,198,600,402,104000,noche, Portland
2023-01-12,141257,apple airpods headphones,8586659871618,Sports,"338 Highland St, San Francisco, CA 94016",1,150,97.5,150,52.5,185100,tarde, San Francisco
2023-01-19,141258,aa batteries (4-pack),5050923931748,Sports,"820 1st St, San Francisco, CA 94016",1,3.84,1.92,3.84,1.92,214700,noche, San Francisco
